Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
601,102,0,1422.39,0,0,-8.21505E+06,0,-4.60772E+06,273.15,0,24.1001,633.744,0,0,0,1.20473E-06,0
602,103,0,1377.95,0,0,-8.12329E+06,0,-4.44329E+06,273.15,0,24.053,625.94,0,0,0,1.20473E-06,0
603,96,0,1688.98,0,0,-8.60518E+06,0,-3.41083E+06,273.15,0,24.6289,778.913,0,0,0,1.20473E-06,0
604,97,0,1644.54,0,0,-8.55652E+06,0,-3.73705E+06,273.15,0,24.5188,735.905,0,0,0,1.20473E-06,0
605,98,0,1600.11,0,0,-8.49815E+06,0,-3.99537E+06,273.15,0,24.3976,696.764,0,0,0,1.20473E-06,0
606,99,0,1555.68,0,0,-8.43367E+06,0,-4.33291E+06,273.15,0,24.2637,658.785,0,0,0,1.20473E-06,0
607,92,0,1866.7,0,0,-8.6838E+06,0,-1.25033E+06,273.15,0,24.9775,967.656,0,0,0,1.20473E-06,0
608,93,0,1822.27,0,0,-8.68735E+06,0,-1.81756E+06,273.15,0,24.868,904.357,0,0,0,1.20473E-06,0
609,94,0,1777.84,0,0,-8.6755E+06,0,-2.3776E+06,273.15,0,24.799,862.646,0,0,0,1.20473E-06,0
610,95,0,1733.41,0,0,-8.65081E+06,0,-2.96281E+06,273.15,0,24.7245,821.784,0,0,0,1.20473E-06,0
611,88,89.0896,2000,0,25417.2,-8.21972E+06,0,0,273.15,0,24.4423,668.576,0,0,0,1.20473E-06,0
612,89,44.6577,2000,0,19656.8,-8.42864E+06,0,0,273.15,0,24.8477,849.501,0,0,0,1.20473E-06,0
613,90,0,1955.57,0,0,-8.6955E+06,0,-201583,273.15,0,25.187,1088.63,0,0,0,1.20473E-06,0
614,91,0,1911.14,0,0,-8.69189E+06,0,-672871,273.15,0,25.0745,1025.41,0,0,0,1.20473E-06,0
615,84,266.817,2000,0,30248,-7.69512E+06,0,0,273.15,0,24.2434,767.749,0,0,0,1.20473E-06,0
616,85,222.385,2000,0,33501.4,-7.88083E+06,0,0,273.15,0,24.3085,718.596,0,0,0,1.20473E-06,0
617,86,177.953,2000,0,42363.3,-7.9934E+06,0,0,273.15,0,24.2981,620.19,0,0,0,1.20473E-06,0
618,87,133.521,2000,0,34932.9,-8.07693E+06,0,0,273.15,0,24.3004,607.401,0,0,0,1.20473E-06,0
619,80,444.545,2000,0,12573.6,-7.64318E+06,0,0,273.15,0,23.6961,657.966,0,0,0,1.20473E-06,0
620,81,400.113,2000,0,13680.2,-7.34917E+06,0,0,273.15,0,23.4613,643.207,0,0,0,1.20473E-06,0
621,82,355.681,2000,0,16485.5,-7.23768E+06,0,0,273.15,0,23.3985,618.878,0,0,0,1.20473E-06,0
622,83,311.249,2000,0,36210,-7.36181E+06,0,0,273.15,0,23.782,716.641,0,0,0,1.20473E-06,0
623,76,622.272,2000,0,21930.5,-7.92366E+06,0,0,273.15,0,23.6962,561.431,0,0,0,1.20473E-06,0
624,77,577.84,2000,0,21704.2,-7.91802E+06,0,0,273.15,0,23.6418,521.639,0,0,0,1.20473E-06,0
625,78,533.409,2000,0,19465.8,-7.90691E+06,0,0,273.15,0,23.6674,524.979,0,0,0,1.20473E-06,0
626,79,488.977,2000,0,19167.6,-7.80016E+06,0,0,273.15,0,23.6878,587.532,0,0,0,1.20473E-06,0
627,72,800,1955.34,0,0,-9.25486E+06,0,-256103,273.15,0,31.2127,12054.2,0,0,0,1.20473E-06,0
628,73,755.568,2000,0,-27444.6,-7.94036E+06,0,0,273.15,0,26.8051,4707.19,0,0,0,1.20473E-06,0
629,74,711.136,2000,0,37772,-7.89049E+06,0,0,273.15,0,25.086,1231.03,0,0,0,1.20473E-06,0
630,75,666.704,2000,0,34664.1,-7.9617E+06,0,0,273.15,0,24.1558,720.374,0,0,0,1.20473E-06,0
631,68,800,1777.61,0,0,-8.9794E+06,0,-2.51378E+06,273.15,0,29.4093,8226.52,0,0,0,1.20473E-06,0
632,69,800,1822.05,0,0,-9.0428E+06,0,-1.90294E+06,273.15,0,29.9914,9462.39,0,0,0,1.20473E-06,0
633,70,800,1866.48,0,0,-9.12333E+06,0,-1.27539E+06,273.15,0,30.5229,10664.1,0,0,0,1.20473E-06,0
634,71,800,1910.91,0,0,-9.20974E+06,0,-676596,273.15,0,30.9966,11608.5,0,0,0,1.20473E-06,0
635,64,800,1599.89,0,0,-8.88097E+06,0,-4.74743E+06,273.15,0,26.9014,4222.22,0,0,0,1.20473E-06,0
636,65,800,1644.32,0,0,-8.91994E+06,0,-4.26702E+06,273.15,0,27.4092,4935.84,0,0,0,1.20473E-06,0
637,66,800,1688.75,0,0,-8.92839E+06,0,-3.70752E+06,273.15,0,27.9889,5794.27,0,0,0,1.20473E-06,0
638,67,800,1733.18,0,0,-8.91802E+06,0,-3.14576E+06,273.15,0,28.7533,7019.84,0,0,0,1.20473E-06,0
639,188,215.959,1691.92,0,47642.9,-8.02323E+06,0,-3.51521E+06,273.15,0,24.0041,665.203,0,0,0,1.20473E-06,0
640,189,389.553,1540.88,0,47036.6,-7.42284E+06,0,-4.77412E+06,273.15,0,23.026,540.767,0,0,0,1.20473E-06,0
641,190,126.712,1539.13,0,56293.6,-8.07727E+06,0,-4.43178E+06,273.15,0,23.834,567.108,0,0,0,1.20473E-06,0
642,191,960.893,103.047,0,-1.30761E+06,-668591,0,1.5553E+07,273.15,0,56.4447,107091,0,0,0,1.20473E-06,0
643,184,460.292,1397.87,0,102543,-7.35123E+06,0,-3.88085E+06,273.15,0,22.6651,570.785,0,0,0,1.20473E-06,0
644,185,581.91,1695.98,0,21522.3,-7.99929E+06,0,-3.67542E+06,273.15,0,23.4362,514.814,0,0,0,1.20473E-06,0
645,186,122.717,439.844,0,1.49336E+06,-7.77275E+06,0,-1.16501E+07,273.15,0,30.2494,6697.93,0,0,0,1.20473E-06,0
646,187,351.401,281.467,0,932825,-6.42481E+06,0,-8.1476E+06,273.15,0,24.9393,3256.84,0,0,0,1.20473E-06,0
647,180,328.562,912.541,0,510264,-7.85013E+06,0,-1.17791E+07,273.15,0,23.3123,1798.76,0,0,0,1.20473E-06,0
648,181,626.188,1023.94,0,251148,-7.98033E+06,0,-9.11381E+06,273.15,0,22.7918,1627.11,0,0,0,1.20473E-06,0
649,182,422.311,1132.8,0,121836,-7.32659E+06,0,-2.31225E+06,273.15,0,22.498,1020.54,0,0,0,1.20473E-06,0
650,183,661.555,1552.41,0,41348.5,-7.95725E+06,0,-5.15899E+06,273.15,0,23.5152,634.228,0,0,0,1.20473E-06,0
651,176,106.398,906.888,0,-70603.2,-7.68773E+06,0,-5.6164E+06,273.15,0,24.3308,1965.63,0,0,0,1.20473E-06,0
652,177,362.046,808.632,0,613537,-7.9228E+06,0,-1.45811E+07,273.15,0,23.6872,2205.58,0,0,0,1.20473E-06,0
653,178,108.088,827.528,0,232052,-7.72936E+06,0,-6.56128E+06,273.15,0,25.1374,2650.24,0,0,0,1.20473E-06,0
654,179,432.038,858.963,0,437164,-7.94171E+06,0,-1.41564E+07,273.15,0,23.2935,2163.28,0,0,0,1.20473E-06,0
655,172,295.183,209.276,0,1.29195E+06,-5.21953E+06,0,-344859,273.15,0,27.587,11145,0,0,0,1.20473E-06,0
656,173,532.442,352.477,0,61280.9,-6.97903E+06,0,-1.15337E+07,273.15,0,23.9139,1838.23,0,0,0,1.20473E-06,0
657,174,558.356,616.409,0,360919,-7.70308E+06,0,-1.38303E+07,273.15,0,23.543,1955.75,0,0,0,1.20473E-06,0
658,175,800.548,559.504,0,1.82328E+06,-7.96468E+06,0,-1.83389E+07,273.15,0,27.8748,6313.93,0,0,0,1.20473E-06,0
