Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
85,1102,350.594,3730.11,0,-4851410,-8016420,0,-53422600,273.15,0,5.2734,4135.46,0,0,0,1.20473E-06,0
86,1097,478.535,3792.06,0,-5166140,-8156820,0,-52778200,273.15,0,5.16456,2651.06,0,0,0,1.20473E-06,0
87,1096,422.721,3888.44,0,-5351440,-7915680,0,-51589100,273.15,0,5.42014,4004.01,0,0,0,1.20473E-06,0
88,1099,-21.0314,3875.44,0,-3136300,-7552240,0,-25746700,273.15,0,5.51694,8504.83,0,0,0,1.20473E-06,0
89,1098,-36.8557,3805.06,0,-3616370,-7942830,0,-31560200,273.15,0,5.48352,9158.2,0,0,0,1.20473E-06,0
90,1093,543.433,3983.02,0,-5048680,-7812000,0,-44786900,273.15,0,5.37723,3055.49,0,0,0,1.20473E-06,0
91,1092,-150.803,3979.74,0,-856260,-9284290,0,-45927400,273.15,0,5.09495,3244.96,0,0,0,1.20473E-06,0
92,1095,340.211,3863.25,0,-4970730,-7830090,0,-51630500,273.15,0,5.50261,5047.77,0,0,0,1.20473E-06,0
93,1094,354.421,3929.07,0,-5139400,-7789200,0,-51335400,273.15,0,5.4988,4597.14,0,0,0,1.20473E-06,0
94,1089,-180.425,4198.09,0,2394320,-8685000,0,-36539800,273.15,0,5.33708,3346.16,0,0,0,1.20473E-06,0
95,1088,-46.2149,725.022,0,37033.7,1994880,0,-58645100,273.15,0,4.618,4152.32,0,0,0,1.20473E-06,0
96,1091,-96.4054,3864.53,0,-3677710,-7685820,0,-36598300,273.15,0,5.18625,5217.17,0,0,0,1.20473E-06,0
97,1090,-190.466,4083.13,0,941973,-9529050,0,-45943800,273.15,0,5.20303,3078.22,0,0,0,1.20473E-06,0
98,1117,-532.179,3636.89,0,3945180,-9059470,0,-63462600,273.15,0,4.7515,1738.97,0,0,0,1.20473E-06,0
99,1116,-384.223,4077.23,0,854599,-10243900,0,-61074500,273.15,0,5.29525,3080.4,0,0,0,1.20473E-06,0
100,1119,-691.724,3438.05,0,4153690,-7367910,0,-44610600,273.15,0,4.78957,1890.58,0,0,0,1.20473E-06,0
101,1118,-599.856,3605.82,0,3752780,-8584730,0,-59793800,273.15,0,4.77515,1609.46,0,0,0,1.20473E-06,0
102,1113,-356.506,3786.84,0,815822,-10313000,0,-68283500,273.15,0,4.90195,1974.9,0,0,0,1.20473E-06,0
103,1112,-409.767,3732.71,0,2087530,-10132800,0,-66893800,273.15,0,4.83785,2042.64,0,0,0,1.20473E-06,0
104,1115,-230.277,3952.91,0,-119126,-10152800,0,-58899700,273.15,0,5.06535,2564.45,0,0,0,1.20473E-06,0
105,1114,-302.557,3837.51,0,-149318,-10369200,0,-66712800,273.15,0,4.95312,2105.17,0,0,0,1.20473E-06,0
106,1109,-562.314,3683.6,0,3730120,-9139110,0,-61776300,273.15,0,4.82427,1789.64,0,0,0,1.20473E-06,0
107,1108,-738.748,3619.91,0,1914790,-8134550,0,-47952400,273.15,0,4.9494,1715.54,0,0,0,1.20473E-06,0
108,1111,-179.189,3649.75,0,-5283740,-8174430,0,-52604700,273.15,0,4.84286,3683.2,0,0,0,1.20473E-06,0
109,1110,-186.463,3781.48,0,-2985360,-9051890,0,-56069000,273.15,0,4.90458,2843.02,0,0,0,1.20473E-06,0
110,1105,217.784,4275.5,0,-3520930,-7776410,0,-39917600,273.15,0,5.58095,3987.2,0,0,0,1.20473E-06,0
111,1104,274.813,3510.26,0,-3576150,-8137490,0,-48562500,273.15,0,5.08669,4094.82,0,0,0,1.20473E-06,0
112,1107,251.479,4055.06,0,-3536430,-7954890,0,-44308200,273.15,0,5.58666,5343.54,0,0,0,1.20473E-06,0
113,1106,283.851,4236.6,0,-3749870,-7949530,0,-41563200,273.15,0,5.53479,3981.1,0,0,0,1.20473E-06,0
114,1069,504.208,528.151,0,-459347,1149200,0,-57227900,273.15,0,4.17067,2245.45,0,0,0,1.20473E-06,0
115,1068,452.305,593.657,0,-535945,1366130,0,-57468900,273.15,0,4.29954,2641.82,0,0,0,1.20473E-06,0
116,1071,188,750.806,0,-445608,2116940,0,-58692800,273.15,0,4.80581,4685.6,0,0,0,1.20473E-06,0
117,1070,423.286,730.25,0,-704165,1679600,0,-58143400,273.15,0,4.49624,3304.19,0,0,0,1.20473E-06,0
118,1065,434.542,419.599,0,-323133,942935,0,-57006400,273.15,0,4.12367,2215.8,0,0,0,1.20473E-06,0
119,1064,371.763,472.575,0,-359757,1120270,0,-57169800,273.15,0,4.26195,2555.05,0,0,0,1.20473E-06,0
120,1067,599.935,621.858,0,-589824,1220690,0,-57330100,273.15,0,4.33164,2277.63,0,0,0,1.20473E-06,0
121,1066,437.797,325.785,0,-270543,791341,0,-56858900,273.15,0,4.03955,2053.74,0,0,0,1.20473E-06,0
122,1061,565.326,470.697,0,-387626,952339,0,-57023900,273.15,0,4.0702,1886.17,0,0,0,1.20473E-06,0
123,1060,552.778,394.364,0,-320089,833740,0,-56891200,273.15,0,3.97141,1756.08,0,0,0,1.20473E-06,0
124,1063,382.713,285.627,0,-216081,719385,0,-56832500,273.15,0,4.06034,2101.91,0,0,0,1.20473E-06,0
125,1062,427.361,515.481,0,-408282,1161660,0,-57255000,273.15,0,4.24834,2499.25,0,0,0,1.20473E-06,0
126,1057,162.738,901.579,0,-569021,2688150,0,-60330300,273.15,0,5.17493,6867.89,0,0,0,1.20473E-06,0
127,1056,310.59,1146.84,0,-1640500,3468530,0,-63649700,273.15,0,5.75036,12026.8,0,0,0,1.20473E-06,0
128,1059,-25.7783,1171.51,0,-109851,4560160,0,-66704900,273.15,0,6.43911,20473.2,0,0,0,1.20473E-06,0
129,1058,69.7496,1167.53,0,-672409,4440250,0,-66337900,273.15,0,6.43535,20087.5,0,0,0,1.20473E-06,0
130,1085,69.692,778.514,0,-221705,2238120,0,-59025500,273.15,0,4.84526,4990.63,0,0,0,1.20473E-06,0
131,1084,-215.972,686.472,0,368519,1927990,0,-58312800,273.15,0,4.42408,3635.51,0,0,0,1.20473E-06,0
132,1087,125.94,731.817,0,-293315,2035780,0,-58608200,273.15,0,4.77079,4543.75,0,0,0,1.20473E-06,0
133,1086,59.315,845.253,0,-246468,2525180,0,-59788100,273.15,0,5.02025,6009.34,0,0,0,1.20473E-06,0
134,1081,-317.374,790.508,0,635784,2076050,0,-58897300,273.15,0,4.48013,3830.09,0,0,0,1.20473E-06,0
135,1080,-172.618,550.305,0,199260,1464250,0,-57626400,273.15,0,4.30359,2941.19,0,0,0,1.20473E-06,0
136,1083,-160.839,718.703,0,274877,2020640,0,-58556400,273.15,0,4.52422,4023.74,0,0,0,1.20473E-06,0
137,1082,-289.308,718.508,0,501404,1878860,0,-58441500,273.15,0,4.41629,3517.87,0,0,0,1.20473E-06,0
138,1077,-165.97,445.57,0,130722,1090000,0,-57263800,273.15,0,4.27043,2626.63,0,0,0,1.20473E-06,0
