Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
81,1138,-1040.25,4303.38,0,1.50906E+06,-8.49882E+06,0,-4.21214E+07,273.15,0,5.84029,2040.63,0,0,0,1.20473E-06,0
82,1101,261.937,3744.1,0,-3.79188E+06,-7.83445E+06,0,-4.76521E+07,273.15,0,5.5552,6832.35,0,0,0,1.20473E-06,0
83,1100,171.963,3857.51,0,-2.05591E+06,-7.68787E+06,0,-3.70074E+07,273.15,0,5.6884,8069.51,0,0,0,1.20473E-06,0
84,1103,177.095,3731.98,0,-2.14037E+06,-7.83945E+06,0,-3.79086E+07,273.15,0,5.62122,8211.47,0,0,0,1.20473E-06,0
85,1102,350.594,3730.11,0,-4.85141E+06,-8.01642E+06,0,-5.34226E+07,273.15,0,5.2734,4135.46,0,0,0,1.20473E-06,0
86,1097,478.535,3792.06,0,-5.16614E+06,-8.15682E+06,0,-5.27782E+07,273.15,0,5.16456,2651.06,0,0,0,1.20473E-06,0
87,1096,422.721,3888.44,0,-5.35144E+06,-7.91568E+06,0,-5.15891E+07,273.15,0,5.42014,4004.01,0,0,0,1.20473E-06,0
88,1099,-21.0314,3875.44,0,-3.1363E+06,-7.55224E+06,0,-2.57467E+07,273.15,0,5.51694,8504.83,0,0,0,1.20473E-06,0
89,1098,-36.8557,3805.06,0,-3.61637E+06,-7.94283E+06,0,-3.15602E+07,273.15,0,5.48352,9158.2,0,0,0,1.20473E-06,0
90,1093,543.433,3983.02,0,-5.04868E+06,-7.812E+06,0,-4.47869E+07,273.15,0,5.37723,3055.49,0,0,0,1.20473E-06,0
91,1092,-150.803,3979.74,0,-856260,-9.28429E+06,0,-4.59274E+07,273.15,0,5.09495,3244.96,0,0,0,1.20473E-06,0
92,1095,340.211,3863.25,0,-4.97073E+06,-7.83009E+06,0,-5.16305E+07,273.15,0,5.50261,5047.77,0,0,0,1.20473E-06,0
93,1094,354.421,3929.07,0,-5.1394E+06,-7.7892E+06,0,-5.13354E+07,273.15,0,5.4988,4597.14,0,0,0,1.20473E-06,0
94,1089,-180.425,4198.09,0,2.39432E+06,-8.685E+06,0,-3.65398E+07,273.15,0,5.33708,3346.16,0,0,0,1.20473E-06,0
95,1088,-46.2149,725.022,0,37033.7,1.99488E+06,0,-5.86451E+07,273.15,0,4.618,4152.32,0,0,0,1.20473E-06,0
96,1091,-96.4054,3864.53,0,-3.67771E+06,-7.68582E+06,0,-3.65983E+07,273.15,0,5.18625,5217.17,0,0,0,1.20473E-06,0
97,1090,-190.466,4083.13,0,941973,-9.52905E+06,0,-4.59438E+07,273.15,0,5.20303,3078.22,0,0,0,1.20473E-06,0
98,1117,-532.179,3636.89,0,3.94518E+06,-9.05947E+06,0,-6.34626E+07,273.15,0,4.7515,1738.97,0,0,0,1.20473E-06,0
99,1116,-384.223,4077.23,0,854599,-1.02439E+07,0,-6.10745E+07,273.15,0,5.29525,3080.4,0,0,0,1.20473E-06,0
100,1119,-691.724,3438.05,0,4.15369E+06,-7.36791E+06,0,-4.46106E+07,273.15,0,4.78957,1890.58,0,0,0,1.20473E-06,0
101,1118,-599.856,3605.82,0,3.75278E+06,-8.58473E+06,0,-5.97938E+07,273.15,0,4.77515,1609.46,0,0,0,1.20473E-06,0
102,1113,-356.506,3786.84,0,815822,-1.0313E+07,0,-6.82835E+07,273.15,0,4.90195,1974.9,0,0,0,1.20473E-06,0
103,1112,-409.767,3732.71,0,2.08753E+06,-1.01328E+07,0,-6.68938E+07,273.15,0,4.83785,2042.64,0,0,0,1.20473E-06,0
104,1115,-230.277,3952.91,0,-119126,-1.01528E+07,0,-5.88997E+07,273.15,0,5.06535,2564.45,0,0,0,1.20473E-06,0
105,1114,-302.557,3837.51,0,-149318,-1.03692E+07,0,-6.67128E+07,273.15,0,4.95312,2105.17,0,0,0,1.20473E-06,0
106,1109,-562.314,3683.6,0,3.73012E+06,-9.13911E+06,0,-6.17763E+07,273.15,0,4.82427,1789.64,0,0,0,1.20473E-06,0
107,1108,-738.748,3619.91,0,1.91479E+06,-8.13455E+06,0,-4.79524E+07,273.15,0,4.9494,1715.54,0,0,0,1.20473E-06,0
108,1111,-179.189,3649.75,0,-5.28374E+06,-8.17443E+06,0,-5.26047E+07,273.15,0,4.84286,3683.2,0,0,0,1.20473E-06,0
109,1110,-186.463,3781.48,0,-2.98536E+06,-9.05189E+06,0,-5.6069E+07,273.15,0,4.90458,2843.02,0,0,0,1.20473E-06,0
110,1105,217.784,4275.5,0,-3.52093E+06,-7.77641E+06,0,-3.99176E+07,273.15,0,5.58095,3987.2,0,0,0,1.20473E-06,0
111,1104,274.813,3510.26,0,-3.57615E+06,-8.13749E+06,0,-4.85625E+07,273.15,0,5.08669,4094.82,0,0,0,1.20473E-06,0
112,1107,251.479,4055.06,0,-3.53643E+06,-7.95489E+06,0,-4.43082E+07,273.15,0,5.58666,5343.54,0,0,0,1.20473E-06,0
113,1106,283.851,4236.6,0,-3.74987E+06,-7.94953E+06,0,-4.15632E+07,273.15,0,5.53479,3981.1,0,0,0,1.20473E-06,0
114,1069,504.208,528.151,0,-459347,1.1492E+06,0,-5.72279E+07,273.15,0,4.17067,2245.45,0,0,0,1.20473E-06,0
115,1068,452.305,593.657,0,-535945,1.36613E+06,0,-5.74689E+07,273.15,0,4.29954,2641.82,0,0,0,1.20473E-06,0
116,1071,188,750.806,0,-445608,2.11694E+06,0,-5.86928E+07,273.15,0,4.80581,4685.6,0,0,0,1.20473E-06,0
117,1070,423.286,730.25,0,-704165,1.6796E+06,0,-5.81434E+07,273.15,0,4.49624,3304.19,0,0,0,1.20473E-06,0
118,1065,434.542,419.599,0,-323133,942935,0,-5.70064E+07,273.15,0,4.12367,2215.8,0,0,0,1.20473E-06,0
119,1064,371.763,472.575,0,-359757,1.12027E+06,0,-5.71698E+07,273.15,0,4.26195,2555.05,0,0,0,1.20473E-06,0
120,1067,599.935,621.858,0,-589824,1.22069E+06,0,-5.73301E+07,273.15,0,4.33164,2277.63,0,0,0,1.20473E-06,0
121,1066,437.797,325.785,0,-270543,791341,0,-5.68589E+07,273.15,0,4.03955,2053.74,0,0,0,1.20473E-06,0
122,1061,565.326,470.697,0,-387626,952339,0,-5.70239E+07,273.15,0,4.0702,1886.17,0,0,0,1.20473E-06,0
